SIRET,nom_etab,type_etab,etatAdministratifEtablissement,anciennete_ans,trancheEffectifsEtablissement,adresse_sirene,activitePrincipaleEtablissement
30357550000010,Inconnu,Restaurant,A,52.0,11,11 DU CHEVALIER DE SAINT-GEORGE,56.10A
49824463100020,LE CHAT NOIR,Bar,A,6.0,01,5 DE SEBASTOPOL,56.30Z
88130533800017,Inconnu,Autre,A,6.0,NN,31 BICHAT,94.99Z
88130533800017,Inconnu,Autre,A,6.0,NN,31 BICHAT,94.99Z
78909640100029,Inconnu,Autre,A,13.0,03,86 SAINT-BLAISE,47.11B
84750508800025,RESPIRO,Restaurant,A,7.0,03,18 MAITRE ALBERT,56.10A
91489535400019,Inconnu,Autre,A,4.0,NN,78 DU FAUBOURG DU TEMPLE,70.10Z
92519175100013,COEUR COFFEE,Bar,A,2.0,NN,6 RAVIGNAN,56.30Z
97790633800016,HA NOI GOURMET,Restaurant,A,3.0,NN,56 SAINT-CHARLES,56.10A
30245229700088,Inconnu,Restaurant,A,4.0,02,13 AUBER,56.10C
84250870700010,TOZ,Restaurant,A,8.0,NN,60 RAMEY,56.10C
97892539400014,Inconnu,Autre,A,3.0,NN,35 DE MONTREUIL,47.11B
84069875700019,Inconnu,Autre,A,8.0,01,16 DU GENERAL LASALLE,46.34Z
32690221000011,Inconnu,Autre,A,43.0,NN,67 DU MONTPARNASSE,68.20B
50159738900037,Inconnu,Autre,A,5.0,NN,64 MALESHERBES,70.10Z
72200838000015,PARIS FOLLIE'S,Autre,A,54.0,NN,74 KLEBER,68.20B
75146745700014,Inconnu,Autre,A,14.0,03,28 DE LA GOUTTE D'OR,11.05Z
90918879900029,LES MUSARDEURS,Bar,A,4.0,02,82 DE BELLEVILLE,56.30Z
47775351100013,Inconnu,Restaurant,A,22.0,NN,108 DE LA CONVENTION,56.10A
83850196300014,Inconnu,Autre,A,8.0,02,110 PETIT,70.10Z
52412304900016,MIRA'DOR,Restaurant,A,16.0,01,95 SAINT-DENIS,56.10C
53454030700038,Inconnu,Restaurant,A,12.0,NN,10 FREYCINET,56.10A
98090961800020,Inconnu,Restaurant,A,3.0,NN,46 DES VIGNOLES,56.10A
92781924300019,Inconnu,Restaurant,A,2.0,NN,6 SAINT-MARC,56.10C
97983106200018,DAMIE,Restaurant,A,3.0,02,7 DUPLEIX,56.10A
95098287600019,Inconnu,Autre,A,3.0,NN,60 FRANCOIS IER,70.10Z
91923890700019,Inconnu,Autre,A,4.0,NN,151 D'ALESIA,47.71Z
90789195600019,SVAROG,Autre,A,5.0,NN,120 VOLTAIRE,47.19B
98436655900016,CAJOU,Restaurant,A,2.0,NN,101 DU CHEVALERET,56.10C
,,Autre,,,,,
,,Autre,,,,,
,,Autre,,,,,
,,Autre,,,,,
,,Autre,,,,,
,,Autre,,,,,
,,Autre,,,,,
82876790500015,Inconnu,Autre,A,9.0,NN,8 PHILIPPE-AUGUSTE,47.11B
82884618800013,BOUCHERIE COSSE THOMAS ET VALERY,Autre,A,9.0,03,9 PONCELET,47.22Z
82888171400012,Inconnu,Restaurant,A,9.0,NN,310 DE CHARENTON,56.10C
82933580100025,CAFE ELLA,Restaurant,A,9.0,11,85 DE LA CONVENTION,56.10A
82959143700019,QUINCAILLERIE 122,Autre,A,9.0,NN,122 DE SAINT-OUEN,47.52A
82977732500012,SOUVENIRS ET SERVICES TABAC DU PALAIS,Autre,A,9.0,01,5 DU PALAIS,47.26Z
83120004300535,AMREST OPCO - SEBASTOPOL,Restaurant,A,8.0,21,31 DE SEBASTOPOL,56.10C
83127808000013,Inconnu,Restaurant,A,9.0,11,121 DU FAUBOURG SAINT-MARTIN,56.10C
83282031000015,IMPERIAL HOUSE,Restaurant,A,9.0,03,103 SAINT-ANTOINE,56.10A
83358829600016,Inconnu,Autre,A,9.0,01,32 DUPLEIX,47.76Z
83461186500017,Inconnu,Bar,A,8.0,02,2 DE MOUZAIA,56.30Z
83788915300016,CRAVAN,Bar,A,8.0,NN,17 JEAN DE LA FONTAINE,56.30Z
83803840400011,Inconnu,Autre,F,8.0,01,238 DE TOLBIAC,47.11B
83916562800018,Inconnu,Autre,A,8.0,12,105 LOUIS MARIN,86.23Z
83963668500019,Inconnu,Bar,A,8.0,11,52 DE VAUGIRARD,56.30Z
83981192400019,Inconnu,Restaurant,A,8.0,02,33 BROCHANT,56.10C
83982101400017,AFFLELOU,Autre,A,8.0,01,70 BELGRAND,47.78A
84142616600010,MAISON CONSTANCE,Autre,A,8.0,03,13 DAGUERRE,47.21Z
84159033400014,HOTEL CAMILLE TAPESTRY COLLECTION BY HILTON,Autre,A,8.0,12,5 DE LYON,55.10Z
84267117400014,15 PIZZA,Restaurant,A,8.0,11,395 DE VAUGIRARD,56.10C
84268876400013,LIBRAIRIE - PAPETERIE - PRESSE,Autre,A,8.0,NN,12 JEAN MOULIN,47.62Z
82481355400030,MODERNO,Restaurant,A,2.0,NN,12 VITRUVE,56.10A
95247927700016,Inconnu,Autre,A,3.0,02,16 DE LA BUTTE AUX CAILLES,70.10Z
94898393700020,Inconnu,Restaurant,A,3.0,NN,101 DE CHOISY,56.10A
94058173900015,Inconnu,Restaurant,A,1.0,NN,147 DE CHARONNE,56.10C
97815662800015,Inconnu,Restaurant,A,3.0,11,10 SEDAINE,56.10A
93831829200019,Inconnu,Restaurant,A,2.0,NN,63 SAINT-MARTIN,56.10C
95309764900016,Inconnu,Bar,A,3.0,NN,21 BAYARD,56.30Z
34092561900033,MIDAS,Autre,A,15.0,03,40 DE SAINT-OUEN,45.20A
83100789300017,LE POULPE,Bar,A,9.0,02,14 RAMPAL,56.30Z
95084486000011,BODRUM,Restaurant,A,3.0,02,1 DU RETRAIT,56.10C
44065724500021,CORSO,Autre,A,18.0,12,79 KLEBER,68.20B
97926541000014,DRINKEYJUICE,Bar,F,3.0,NN,61 SAINT-MARTIN,56.30Z
95369122700011,Inconnu,Restaurant,A,3.0,01,20 DE L'AMIRAL MOUCHEZ,56.10A
44006553000022,CIVETTE SAINT MICHEL,Autre,A,3.0,NN,137 SAINT-MICHEL,47.26Z
88209764500023,Inconnu,Bar,A,6.0,02,34 DE LA PORTE DE CHOISY,56.30Z
91191564300025,BAITONG THAI,Restaurant,A,4.0,01,24 FALGUIERE,56.10A
91490669800016,Inconnu,Restaurant,A,4.0,01,137 DE SAINT-OUEN,56.10A
80878473000018,SU MISURA,Restaurant,A,11.0,11,22 RAPP,56.10A
79257373500018,L'OLIVIER,Restaurant,A,13.0,02,88 ORDENER,56.10A
93016701000014,Inconnu,Restaurant,A,2.0,NN,39 DAGUERRE,56.10C
95296886500016,BUFFET GOURMET,Restaurant,A,3.0,02,46 VAVIN,56.10A
83890651900023,FOO'D SAVEURS,Restaurant,A,8.0,11,20 BARBANEGRE,56.10C
95391685500018,Inconnu,Autre,A,3.0,11,129 CAULAINCOURT,47.22Z
90858191100025,Inconnu,Autre,A,4.0,11,16 DE LA MOTTE-PICQUET,10.71D
82250556600023,Inconnu,Restaurant,A,4.0,02,13 LOUISE WEISS,56.10A
90163586200021,Inconnu,Restaurant,A,4.0,NN,16 DE CLICHY,56.10A
91926483800013,Inconnu,Restaurant,A,4.0,01,176 JEAN JAURES,56.10C
81167142900025,Inconnu,Restaurant,A,11.0,02,161 SAINT-CHARLES,56.10C
81231691700010,NJUTBAR,Bar,A,11.0,02,22 DE LA BANQUE,56.30Z
30954203300019,Inconnu,Autre,A,49.0,22,79 SAINT-DOMINIQUE,55.10Z
52747978600024,Inconnu,Restaurant,A,11.0,02,4 JEAN-PIERRE TIMBAUD,56.10A
84263069100025,Inconnu,Restaurant,A,8.0,03,53 DU MONTPARNASSE,56.10A
92538239200015,LE CEPAGE MONTMARTROIS,Restaurant,A,2.0,NN,65 CAULAINCOURT,56.10A
44425288600015,ASIA KITCHEN,Restaurant,A,24.0,03,49 D'ORSAY,56.10A
44185471800018,Inconnu,Autre,A,24.0,NN,17 MAC-MAHON,68.20B
98915166700015,Inconnu,Bar,A,1.0,NN,23 EUGENE JUMIN,56.30Z
79948751700010,MMSR,Restaurant,A,13.0,03,22 DU FAUBOURG DU TEMPLE,56.10C
94348281000018,Inconnu,Restaurant,A,1.0,NN,43 SAINT-MICHEL,56.10A
53381948800024,Inconnu,Autre,A,15.0,01,168 DE CHARONNE,56.21Z
91536521700016,Inconnu,Autre,A,4.0,11,64 MONTMARTRE,70.10Z
98427955400013,LA POMPADOUR,Autre,A,2.0,NN,143 DE COURCELLES,10.71C
56213449400011,Inconnu,Restaurant,A,80.0,02,41 MALESHERBES,56.10A
92213661900025,Inconnu,Restaurant,A,3.0,01,7 DU BOCCADOR,56.10A
56202618700020,Inconnu,Restaurant,A,34.0,11,1 DU MARECHAL JUIN,56.10A
38808301600138,MAISON EUGENIE,Autre,A,26.0,12,167 DE ROME,55.10Z
82821222500019,IL SORRENTINO,Bar,A,9.0,03,4 DE MONTTESSUY,56.30Z
98206261400028,JJ HINGS,Restaurant,A,3.0,NN,46 BICHAT,56.10C
88486583300021,HANOI STREET FOOD,Restaurant,A,2.0,NN,6 DE CONSTANTINOPLE,56.10C
31906000000019,Inconnu,Restaurant,A,46.0,12,56 GALANDE,56.10A
91978407400016,Inconnu,Restaurant,A,4.0,01,4 VERSIGNY,56.10C
93241390900015,Inconnu,Restaurant,A,2.0,NN,24 DE LA TOMBE ISSOIRE,56.10C
93526679100018,AMARVI,Restaurant,A,2.0,NN,9 CUJAS,56.10A
84227615600010,Inconnu,Restaurant,A,8.0,02,31 JULIETTE DODU,56.10A
94099917000019,Inconnu,Restaurant,A,1.0,NN,216 SAINT-MAUR,56.10C
80295264800029,Inconnu,Autre,A,11.0,03,75 DE SEBASTOPOL,14.13Z
81302829700022,Inconnu,Restaurant,A,10.0,12,2 COLETTE,56.10A
87806690100017,Inconnu,Autre,A,7.0,00,21 REAUMUR,68.20B
89466156000041,AU CIEL DE SHANGHAI,Bar,A,1.0,NN,33 DE SUFFREN,56.30Z
83799553900017,Inconnu,Restaurant,A,8.0,02,10 SAINT-LAZARE,56.10A
80534090800021,LE JOCKEY,Bar,A,11.0,02,72 LEON FROT,56.30Z
80534090800021,LE JOCKEY,Bar,A,11.0,02,72 LEON FROT,56.30Z
93151265100015,Inconnu,Autre,A,2.0,NN,71 DE STRASBOURG,70.10Z
98166258800020,Inconnu,Autre,A,2.0,NN,64 DE VERSAILLES,47.76Z
83895467500024,Inconnu,Restaurant,A,4.0,11,81 BEAUBOURG,56.10A
91430249200022,Inconnu,Autre,A,4.0,02,2 DU JOURDAIN,47.76Z
84510604600012,Inconnu,Restaurant,A,7.0,11,49 DE SEBASTOPOL,56.10C
90449494500010,Inconnu,Restaurant,A,5.0,NN,197 RAYMOND LOSSERAND,56.10C
94404251400017,PLATANE PIZZA,Restaurant,A,1.0,NN,55 DU GENERAL MICHEL BIZOT,56.10C
57216911800013,LE RELAIS DU VIN,Restaurant,A,69.0,11,85 SAINT-DENIS,56.10A
42235501600011,Inconnu,Restaurant,A,27.0,11,7 BLANCHE,56.10A
95213376700014,Inconnu,Restaurant,A,3.0,02,101 NOLLET,56.10A
48228875000011,Inconnu,Autre,F,21.0,01,83 RICHARD LENOIR,47.59A
48054070700019,Inconnu,Autre,A,21.0,NN,70 MARX DORMOY,46.49Z
88927821400024,LE CAFE ALAIN DUCASSE,Autre,A,6.0,NN,12 SAINT-SABIN,10.83Z
63203205800018,Inconnu,Autre,A,63.0,NN,80 KLEBER,68.20B
92844192200012,Inconnu,Restaurant,A,2.0,NN,10 BERRYER,56.10C
38808301600245,PAVILLON ROYAL MONTSOURIS,Autre,A,14.0,03,144 DE LA TOMBE ISSOIRE,55.10Z
53403834400014,Inconnu,Autre,A,15.0,02,132 DU MONTPARNASSE,47.78C
83950994000020,LE PAIN DU MOULIN,Autre,A,3.0,01,5 ERARD,10.71C
97832821900016,Inconnu,Bar,A,3.0,02,81 DES PYRENEES,56.30Z
93428919000027,SALLE GAVEAU,Autre,A,2.0,NN,45 LA BOETIE,90.01Z
98136824400019,Inconnu,Autre,A,3.0,01,34 DE MONTMORENCY,10.71C
44419508500022,Inconnu,Autre,A,23.0,01,4 DU PETIT PONT,47.78C
31576925700223,CCF - BANQUE DES CARAIBES,Autre,A,3.0,NN,103 DE GRENELLE,64.19Z
89367496000016,Inconnu,Autre,A,5.0,01,14 DU FAUBOURG SAINT-MARTIN,47.11B
93147391200018,LE CACHIQUET,Restaurant,A,2.0,NN,20 LOUIS BRAILLE,56.10A
95297457400057,Inconnu,Restaurant,A,3.0,NN,2 DE CLICHY,56.10C
39178680300018,Inconnu,Autre,A,33.0,NN,104 DAVOUT,66.19A
95378652200011,Inconnu,Restaurant,A,3.0,11,70 DE STRASBOURG,56.10A
94281297500012,DI-GIU,Autre,A,1.0,NN,34 DES VINAIGRIERS,10.71D
98526094200018,CAFE FOUFOU,Restaurant,A,2.0,NN,10 OBERKAMPF,56.10C
98159274400016,Inconnu,Restaurant,A,3.0,NN,1 D'ITALIE,56.10C
97824849000028,TROPICAL MARKET,Autre,A,126.0,02,119 DE MENILMONTANT,47.11B
44533010300620,STARBUCKS COFFEE,Restaurant,A,15.0,11,1 HOUDART DE LAMOTTE,56.10C
81159798800039,TRANSPORT MESSAR,Bar,A,2.0,NN,9 SORBIER,56.30Z
80792251300013,Inconnu,Autre,A,12.0,12,86 DU ROCHER,10.71C
78811046800014,Inconnu,Autre,A,40.0,03,84 SAINT-DENIS,55.10Z
93818632700012,Inconnu,Restaurant,A,2.0,NN,4 SORBIER,56.10A
93124562500013,Inconnu,Restaurant,A,2.0,NN,3 VICTOR HUGO,56.10A
81805138500016,CHEZ MICHEL,Restaurant,A,10.0,03,10 DE BELZUNCE,56.10A
43946702800049,LES PTITS GROS,Restaurant,A,9.0,11,74 DIDEROT,56.10A
94082891600020,Inconnu,Restaurant,A,1.0,NN,7 ROUGET DE L'ISLE,56.10A
92023761700013,RIVES,Restaurant,A,4.0,11, SAINT-MAUR,56.10A
99293350700012,Inconnu,Restaurant,A,1.0,NN,66 DES CHAMPS ELYSEES,56.10C
51270386900028,Inconnu,Restaurant,A,15.0,00,65 PAUL DOUMER,56.10A
90066228900025,LA GOUTTE D'EAU,Restaurant,A,126.0,03,26 DE L'AMIRAL MOUCHEZ,56.10A
93180289600015,LE SAINT AMOUR,Restaurant,A,2.0,NN,4 DE ROME,56.10A
79005703800016,LES PEUPLIERS,Autre,A,14.0,11,6 DE L'ABBE GEORGES HENOCQUE,68.20B
88177271900012,Inconnu,Restaurant,A,6.0,01,53 DE LA FONTAINE AU ROI,56.10C
98178167700019,Inconnu,Autre,A,3.0,NN,5 BASTIEN LEPAGE,47.11B
92489223500020,Inconnu,Restaurant,A,2.0,NN,51 SAINT-MAUR,56.10A
79449510100014,CANTINE MAX,Restaurant,A,13.0,03,372 DE VAUGIRARD,56.10A
93134669600020,Inconnu,Restaurant,A,2.0,NN,42 D'ARGOUT,56.10A
91068822500010,Inconnu,Restaurant,A,4.0,00,229 SAINT-HONORE,56.10C
58210654800016,Inconnu,Restaurant,A,68.0,11,157 SAINT-HONORE,56.10A
93291373400012,Inconnu,Autre,A,2.0,NN,20 SAINT-FIACRE,70.10Z
82933565200014,Inconnu,Restaurant,A,9.0,02,2 LERICHE,56.10C
98782594000016,Inconnu,Restaurant,A,2.0,NN,151 VOLTAIRE,56.10C
90891819600027,Inconnu,Restaurant,A,4.0,01,8 VAVIN,56.10C
89818284500021,KOSSAIDI,Restaurant,A,5.0,NN,62 DU MONTPARNASSE,56.10C
92910181400010,Inconnu,Restaurant,A,2.0,NN,8 DE BUDAPEST,56.10C
93897964800012,PAUL CHENE DE LA MER,Restaurant,A,2.0,NN,129 LAURISTON,56.10A
93345074400018,COURCELLE,Autre,A,2.0,NN,7 DES HALLES,10.71C
98096210400025,BERRI,Restaurant,A,2.0,NN,30 DE BERRI,56.10C
94137178300015,LONGUES NOUILLES,Restaurant,A,1.0,NN,123 OBERKAMPF,56.10C
39946656400024,LE CAFE DU THEATRE,Restaurant,A,17.0,01,27 DES MATHURINS,56.10A
52468885000014,LE PERE FECTO,Restaurant,A,16.0,01,15 JEAN COLLY,56.10A
97864131400015,L'ATELIER D'AMAYA,Autre,A,3.0,02,32 DU COMMERCE,32.12Z
94196268000018,Inconnu,Autre,A,1.0,NN,33 FREDERICK LEMAITRE,86.22C
44533010300729,STARBUCKS COFFEE,Restaurant,A,14.0,11,83 SAINT-CHARLES,56.10C
83088918400016,NO PAIN NO GAIN,Autre,A,9.0,03,43 DAGUERRE,10.71C
93943021100028,Inconnu,Autre,A,1.0,NN,25 DES FETES,47.11B
40378125500050,BOUTIQUE FOR TOMORROW - ESPACE PANTHEA,Autre,A,4.0,01,15 SOUFFLOT,47.62Z
94228357300015,Inconnu,Autre,A,1.0,NN,132 DU CHEMIN VERT,10.71C
98477527000023,Inconnu,Restaurant,A,2.0,NN,66 DU CHERCHE-MIDI,56.10A
92998310400019,BAGUETTE ECLAIR,Autre,A,2.0,NN,107 JOURDAN,10.71C
93034317300017,Inconnu,Restaurant,A,2.0,NN,14 DE BRETAGNE,56.10A
84935156400026,Inconnu,Bar,A,7.0,02,118 DE CLICHY,56.30Z
92169156400014,PACKIAMS,Bar,A,4.0,12,72 DE STRASBOURG,56.30Z
78493968807325,PICARD SURGELES,Autre,A,19.0,03,121 MOUFFETARD,47.11A
92884593200039,CITY OF LIGHT,Bar,A,1.0,NN,41 BOISSY D'ANGLAS,56.30Z
98834651600012,Inconnu,Restaurant,A,1.0,NN,42 LEON FROT,56.10A
92940340000013,Inconnu,Bar,A,2.0,NN,21 DE BONNE NOUVELLE,56.30Z
90435108700021,LE WEEK END,Bar,A,1.0,NN,59 DE TURBIGO,56.30Z
84972786200013,Inconnu,Autre,A,7.0,02,39 MARX DORMOY,47.73Z
99210742500017,Inconnu,Autre,A,1.0,NN,49 DE PONTHIEU,70.10Z
89799228500014,OTTO,Restaurant,A,5.0,01,53 ARAGO,56.10C
90021847000012,LE MARAIS,Restaurant,A,5.0,11,47 DE TURBIGO,56.10A
92043486700023,BRASSERIE ROSIE LOU,Restaurant,A,4.0,12,31 DE BONNE NOUVELLE,56.10A
44520108000014,LA BOUTIQUE,Autre,A,24.0,NN,157 DE CHARENTON,68.20B
43302769500017,Inconnu,Restaurant,A,26.0,03,66 PAJOL,56.10A
90247995500012,Inconnu,Restaurant,A,5.0,02,162 DU MAINE,56.10C
98232447700016,LE BIENVENU,Restaurant,A,3.0,NN,188 SAINT-MAUR,56.10C
53016066200017,LE FALSTAFF,Restaurant,A,15.0,12,10 DE LA BASTILLE,56.10A
53016066200017,LE FALSTAFF,Restaurant,A,15.0,12,10 DE LA BASTILLE,56.10A
89915551900023,MOJO,Restaurant,A,5.0,11,9 DU GENERAL LANREZAC,56.10A
84298018700012,Inconnu,Restaurant,A,8.0,03,10 BREMONTIER,56.10A
53416016300026,LE LUTETIA,Bar,A,7.0,02,43 DE BRETAGNE,56.30Z
42857126900011,Inconnu,Restaurant,A,27.0,11,59 MONTMARTRE,56.10A
91142962900015,L'ATELIER DES GOURMANDISES,Autre,A,4.0,00,106 ORDENER,10.71C
54210853500015,Inconnu,Autre,A,72.0,11,225 RASPAIL,55.10Z
48761368900016,LA CHOPE SAINT FARGEAU,Restaurant,A,21.0,11,185 GAMBETTA,56.10A
93031095800010,Inconnu,Restaurant,A,2.0,NN,24 DU NIGER,56.10C
98166946800010,BROOKIE ME,Restaurant,A,3.0,NN,50 LEGENDRE,56.10C
48063729700023,Inconnu,Autre,A,21.0,NN,22 DES VIGNOLES,68.20B
98257302400014,LA FRAIRIE,Restaurant,A,3.0,NN,12 DE CASTELLANE,56.10A
87928675500019,Inconnu,Restaurant,A,7.0,02,49 POPINCOURT,56.10A
53225839900031,FROZEN GROOVE : GORLIER FRANCOIS,Restaurant,A,8.0,02,86 LEDRU-ROLLIN,56.10A
53225839900031,FROZEN GROOVE : GORLIER FRANCOIS,Restaurant,A,8.0,02,86 LEDRU-ROLLIN,56.10A
58215004100918,POMME DE PAIN,Restaurant,A,19.0,03,86 KLEBER,56.10C
53452638900026,LES MARMITES VOLANTES,Restaurant,A,126.0,11,69 ARMAND CARREL,56.10A
83049215300028,Inconnu,Bar,A,6.0,01,8 RIQUET,56.30Z
51828551500012,Inconnu,Restaurant,A,16.0,02,81 DE LA VICTOIRE,56.10A
85026164500020,SUSHI KONNICHIWA,Restaurant,A,2.0,NN,21 DES GOBELINS,56.10A
48310245500019,Inconnu,Restaurant,A,21.0,03,47 DE CHARENTON,56.10A
85069784800024,Inconnu,Restaurant,A,7.0,02,13 ROUGEMONT,56.10A
50949446400332,Inconnu,Autre,A,3.0,NN,32 DES JEUNEURS,47.71Z
53284019600077,Inconnu,Restaurant,A,13.0,03,46 MADAME,56.10C
45106373900259,HUAWEI,Autre,A,4.0,NN,9 DES CAPUCINES,47.19B
98780224600015,Inconnu,Autre,A,2.0,NN,66 DU GENERAL MICHEL BIZOT,47.11B
84970606400011,Inconnu,Restaurant,A,7.0,11,34 DU FAUBOURG POISSONNIERE,56.10C
84455723100025,GARCON,Autre,A,7.0,00,83 DU CHERCHE-MIDI,68.20B
84398377600017,Inconnu,Restaurant,A,8.0,02,20 DES FOSSES SAINT-BERNARD,56.10A
83830570400028,Inconnu,Autre,F,6.0,01,109 DE TOCQUEVILLE,47.25Z
55205280500017,LE LUTECE,Autre,A,36.0,NN,8 SAINT-MICHEL,68.20B
